	Characidium_zebra	Pyrrhulina_australis	Hemigrammus_neptunus	Cyphocharax_gillii	Steindachnerina_brevipinna	Hoplias_malabaricus	Bryconops_melanurus	Acestrorhynchus_pantaneiro	Xenurobrycon_macropus	Piabarchus_torrenticola	Bryconamericus_exodon	Knodus_chapadae	Phenacogaster_jancupa	Phenacogaster_tegatus	Aphyocharax_dentatus	Serrapinnus_microdon	Odontostilbe_pequira	Serrapinnus_calliurus	Hyphessobrycon_herbertaxelrodi	Moenkhausia_oligolepis	Hyphessobrycon_eques	Astyanax_lineatus	Hemigrammus_machadoi	Gymnocorymbus_ternetzi	Poptella_paraguayensis	Jupiaba_acanthogaster	Psellogrammus_kennedyi	Astyanax_lacustris	Moenkhausia_bonita	Ituglanis_eichorniarum	Callichthys_callichthys	Corydoras_hastatus	Corydoras_aeneus	Corydoras_areio	Corydoras_polystictus	Rineloricaria_aurata	Farlowella_isbruckeri	Rineloricaria_lanceolata	Ancistrus_cuiabae	Hypostomus_boulengeri	Hypostomus_khimaera	Pterobunocephalus_depressus	Trachelyopterus_galeatus	Pimelodella_gracilis	Rhamdia_quelen	Imparfinis_stictonotus	Phenacorhamdia_hoehnei	Chaetobranchopsis_australis	Crenicichla_lepidota	Cichlasoma_dimerus	Bujurquina_vittata	Aequidens_plagiozonatus	Apistogramma_commbrae	Melanorivulus_zygonectes
Phenacogaster_jancupa	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	0	171.3946039	124.089505	124.089505	124.089505	124.089505	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Phenacogaster_tegatus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	171.3946039	0	124.089505	124.089505	124.089505	124.089505	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Aphyocharax_dentatus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	124.089505	124.089505	0	127.76877	127.76877	127.76877	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Serrapinnus_microdon	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	124.089505	124.089505	127.76877	0	168.364746	161.351613	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Odontostilbe_pequira	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	124.089505	124.089505	127.76877	168.364746	0	161.351613	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Serrapinnus_calliurus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	122.167157	122.167157	122.167157	122.167157	124.089505	124.089505	127.76877	161.351613	161.351613	0	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Hyphessobrycon_herbertaxelrodi	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	0	151.026995	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Moenkhausia_oligolepis	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	151.026995	0	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	137.855082	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Hyphessobrycon_eques	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	0	160.424781	141.758945	141.758945	141.758945	139.601015	139.601015	139.601015	139.601015	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
Astyanax_lineatus	83.077781	89.075604	91.983419	91.983419	91.983419	95.679234	108.252827	108.252827	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	118.06571	137.855082	137.855082	160.424781	0	141.758945	141.758945	141.758945	139.601015	139.601015	139.601015	139.601015	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	61.417196	0	0	0	0	0	0	0
